source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
14538	5097.9805	4526.2153	0.348	99.0	99.0	-0.0034891288406541693	0.0018128601932523832	-1.9246541204010092	0.0021628082487207007																																																
9945	7013.9082	3210.0603	0.362	32.7759	1.2799	0.001540189624990469	0.0018151682841358258	0.8485106524014274	0.0027323552214905816																																																
4847	3140.3428	1840.7415	0.379	99.0	99.0	-0.004551602656599013	0.0018151682841358258	-2.507537563530074	0.0038841997518416515																																																
5331	11176.79	1961.2524	0.356	32.5417	1.0306	0.0019108724916847882	0.0018133218114290718	1.0537966728469654	0.00473133852780817																																																
13153	9765.502	4011.6118	0.349	99.0	99.0	-0.00030421123757650164	0.0018105486315555814	-0.16802157769997617	0.002684939215318528																																																
12221	2626.2266	3760.4131	0.047	99.0	99.0	-0.0015661987433617391	0.0018133218114290718	-0.863718030351945	0.0020994798917490327																																																
13253	991.8718	4049.2241	0.351																			31.8337	0.3277	0.006292518559718529	0.0018990220605985429	3.3135573779144107	0.002797155479503291																														
5791	2684.1089	2087.9167	0.794																			28.8813	0.0216	0.09545557062984567	0.0019014364791499379	50.20181934897995	0.0032570603796013516																														
9033	721.8312	2997.2446	0.349																			32.6511	0.696	0.0029637985042931824	0.0018995051427813702	1.560300331671337	0.0027901281056755584																														
7377	4097.9121	2548.0811	0.39																			99.0	99.0	-0.002426898505239156	0.0019014364791499379	-1.2763500289655392	0.0032479919987347433																														
1794	3109.8633	992.5999	0.352																			31.7276	0.297	0.00693876105514203	0.0018975716232147702	3.656653045531283	0.003141172055444012																														
3501	1575.9025	1547.3728	0.351																			32.2546	0.4825	0.004270234130567849	0.0018970881440868459	2.2509413407479313	0.0029847336436466267																														
15889	7508.3774	5014.272	0.347																			99.0	99.0	-0.0006621836120391607	0.0018990220605985429	-0.34869716670403	0.003008796485299348																														
2846	3312.7612	1374.2126	0.019																			99.0	99.0	-0.0009940350717377764	0.0018980553008152428	-0.5237123867312105	0.0029743489448271917																														
11872	2226.0198	3688.197	0.355																			32.3387	0.5212	0.003952092559095681	0.001896604466486373	2.0837726731801287	0.0036818282673548378																														
16883	1694.0739	6025.4873	0.206																			31.2528	0.1922	0.010744658735079658	0.0019019189659151203	5.6493777745729545	0.0019990503277912334																														
3780	1830.3821	1614.2209	0.369																			31.2202	0.1862	0.011071640273857961	0.0018980553008152428	5.833149470988821	0.003427143666015425																														
14556	4185.5933	4543.2773	0.358																			32.2929	0.4995	0.004122562615649634	0.0018961205904133515	2.1742090859057237	0.002629326094386627																														
7242	2107.8831	2498.3391	0.355																			31.7375	0.3002	0.006875801593335735	0.0019009537939122074	3.6170272077919234	0.0026355321023145283																														
9172	4751.769	3041.3462	0.356																			36.7831	31.275	6.592529663893538e-05	0.0018985385814706186	0.03472423330363362	0.0032953172518197307																														
4130	7968.9326	1652.1842	0.383																			30.7442	0.1201	0.017164140184015412	0.0018980553008152428	9.043013750254358	0.0025241645134321967																														
13906	11167.6416	4284.4829	0.347																			33.023	0.9791	0.0021042436680161667	0.0018970881440868459	1.109196572955778	0.0029767185197889638																														
3407	7422.7788	1483.1171	0.002																			29.3725	0.0339	0.06071505483986746	0.0018970881440868459	32.004340456775324	0.003022650313429191																														
508	1412.0394	556.8492	0.349																			99.0	99.0	-0.004886755361867105	0.0018990220605985429	-2.5733009970020433	0.0031822646641192073																														
7729	2770.9578	2641.0762	0.023																			99.0	99.0	-0.0012576076083876393	0.0018975716232147702	-0.6627457920439724	0.002863646758692757																														
